Source,Target,Type,Kind,Id,Label,timeset,Weight
@leissvetlena,@yatharthbhoj,Directed,Mention,7812,,<[2022-03-02T10:15:19.201Z]>,1
@leissvetlena,@yatharthbhoj,Directed,Retweet,7813,,<[2022-03-02T10:15:19.201Z]>,1
@prabhavkumar20,@slimdestro,Directed,Mention,7814,,<[2022-03-02T10:15:19.775Z]>,1
@prabhavkumar20,@slimdestro,Directed,Retweet,7815,,<[2022-03-02T10:15:19.775Z]>,1
@mushahid2565,@anmology,Directed,Mention,7816,,<[2022-03-02T10:15:20.226Z]>,1
@mushahid2565,@anmology,Directed,Retweet,7817,,<[2022-03-02T10:15:20.226Z]>,1
@ezra_ex,@_kartik_kc,Directed,Mention,7818,,<[2022-03-02T10:15:20.405Z]>,1
@ezra_ex,@_kartik_kc,Directed,Retweet,7819,,<[2022-03-02T10:15:20.405Z]>,1
@muninivi5463,@md_haroon_001,Directed,Mention,7820,,<[2022-03-02T10:15:21.305Z]>,1
@muninivi5463,@md_haroon_001,Directed,Retweet,7821,,<[2022-03-02T10:15:21.305Z]>,1
@snowwfire,@slimdestro,Directed,Mention,7822,,<[2022-03-02T10:15:21.472Z]>,1
@snowwfire,@slimdestro,Directed,Retweet,7823,,<[2022-03-02T10:15:21.472Z]>,1
@kmsaleem,@khawajasaleem,Directed,Mention,7824,,<[2022-03-02T10:15:21.776Z]>,1
@kmsaleem,@khawajasaleem,Directed,Retweet,7825,,<[2022-03-02T10:15:21.776Z]>,1
@moxbhardwaj1,@mas_742,Directed,Mention,7826,,<[2022-03-02T10:15:21.941Z]>,1
@moxbhardwaj1,@mas_742,Directed,Retweet,7827,,<[2022-03-02T10:15:21.941Z]>,1
@gauravk20601889,@keshavk072,Directed,Mention,7828,,<[2022-03-02T10:15:23.162Z]>,1
@gauravk20601889,@keshavk072,Directed,Retweet,7829,,<[2022-03-02T10:15:23.162Z]>,1
@drmbjoshi7,@imrankhanpti,Directed,Mention,7830,,<[2022-03-02T10:15:23.162Z]>,1
@drmbjoshi7,@govtofpakistan,Directed,Mention,7831,,<[2022-03-02T10:15:23.162Z]>,1
@talhapubgg,@aditya_sindh,Directed,Mention,7832,,<[2022-03-02T10:15:23.208Z]>,1
@talhapubgg,@aditya_sindh,Directed,Retweet,7833,,<[2022-03-02T10:15:23.208Z]>,1
@prabhavkumar20,@anmology,Directed,Mention,7834,,<[2022-03-02T10:15:23.270Z]>,1
@prabhavkumar20,@anmology,Directed,Retweet,7835,,<[2022-03-02T10:15:23.270Z]>,1
@akashku69097212,@rishabh0066,Directed,Mention,7836,,<[2022-03-02T10:15:23.599Z]>,1
@akashku69097212,@rishabh0066,Directed,Retweet,7837,,<[2022-03-02T10:15:23.599Z]>,1
@ashwath13,@trulydipesh,Directed,Mention,7838,,<[2022-03-02T10:15:23.934Z]>,1
@ashwath13,@trulydipesh,Directed,Retweet,7839,,<[2022-03-02T10:15:23.934Z]>,1
@sherkhan1111786,@rishusi55,Directed,Mention,7840,,<[2022-03-02T10:15:24.276Z]>,1
@sherkhan1111786,@rishusi55,Directed,Retweet,7841,,<[2022-03-02T10:15:24.276Z]>,1
@hemanth48597405,@lakhabr33657734,Directed,Mention,7842,,<[2022-03-02T10:15:24.465Z]>,1
@hemanth48597405,@lakhabr33657734,Directed,Retweet,7843,,<[2022-03-02T10:15:24.465Z]>,1
@golzargolzar1,@mas_742,Directed,Mention,7844,,<[2022-03-02T10:15:24.901Z]>,1
@golzargolzar1,@mas_742,Directed,Retweet,7845,,<[2022-03-02T10:15:24.901Z]>,1
